Altitude (ft),Latitude (ft),Longitude (ft),Date (YYYY-MM-DD),Time
000000,+00.00000,+00.00000,2025-10-03,00:14:22.144
000000,+00.00000,+00.00000,2025-10-03,00:14:24.144
000000,+00.00000,+00.00000,2025-10-03,00:14:27.144
000000,+00.00000,+00.00000,2025-10-03,00:14:29.144
000000,+00.00000,+00.00000,2025-10-03,00:14:31.143
000000,+00.00000,+00.00000,2025-10-03,00:14:32.151
000000,+00.00000,+00.00000,2025-10-03,00:14:34.144
000000,+00.00000,+00.00000,2025-10-03,00:14:36.144
000000,+00.00000,+00.00000,2025-10-03,00:14:38.144
000000,+00.00000,+00.00000,2025-10-03,00:14:40.144
000000,+00.00000,+00.00000,2025-10-03,00:14:42.144
000000,+00.00000,+00.00000,2025-10-03,00:14:44.144
000000,+00.00000,+00.00000,2025-10-03,00:14:47.144
000000,+00.00000,+00.00000,2025-10-03,00:14:49.144
000000,+00.00000,+00.00000,2025-10-03,00:14:50.152
000000,+00.00000,+00.00000,2025-10-03,00:14:53.145
000000,+00.00000,+00.00000,2025-10-03,00:14:55.144
000000,+00.00000,+00.00000,2025-10-03,00:14:58.145
000000,+00.00000,+00.00000,2025-10-03,00:15:00.144
000000,+00.00000,+00.00000,2025-10-03,00:15:02.144
000000,+00.00000,+00.00000,2025-10-03,00:15:04.144
000000,+00.00000,+00.00000,2025-10-03,00:15:06.144
000000,+00.00000,+00.00000,2025-10-03,00:15:09.145
000000,+00.00000,+00.00000,2025-10-03,00:15:11.144
000000,+00.00000,+00.00000,2025-10-03,00:15:13.144
000000,+00.00000,+00.00000,2025-10-03,00:15:15.144
000000,+00.00000,+00.00000,2025-10-03,00:15:17.145
000000,+00.00000,+00.00000,2025-10-03,00:15:18.152
000000,+00.00000,+00.00000,2025-10-03,00:15:20.144
000000,+00.00000,+00.00000,2025-10-03,00:15:22.144
000000,+00.00000,+00.00000,2025-10-03,00:15:24.144
000000,+00.00000,+00.00000,2025-10-03,00:15:27.144
000000,+00.00000,+00.00000,2025-10-03,00:15:30.145
000000,+00.00000,+00.00000,2025-10-03,00:15:32.144
000000,+00.00000,+00.00000,2025-10-03,00:15:35.145
000000,+00.00000,+00.00000,2025-10-03,00:15:38.144
000000,+00.00000,+00.00000,2025-10-03,00:15:41.144
000000,+00.00000,+00.00000,2025-10-03,00:15:43.144
000000,+00.00000,+00.00000,2025-10-03,00:15:45.145
000000,+00.00000,+00.00000,2025-10-03,00:15:47.144
000000,+00.00000,+00.00000,2025-10-03,00:15:49.144
000000,+00.00000,+00.00000,2025-10-03,00:15:51.145
000000,+00.00000,+00.00000,2025-10-03,00:15:54.145
000000,+00.00000,+00.00000,2025-10-03,00:15:56.145
000000,+00.00000,+00.00000,2025-10-03,00:15:59.144
000000,+00.00000,+00.00000,2025-10-03,00:16:01.145
000000,+00.00000,+00.00000,2025-10-03,00:16:03.145
000000,+00.00000,+00.00000,2025-10-03,00:16:05.144
000000,+00.00000,+00.00000,2025-10-03,00:16:08.144
000000,+00.00000,+00.00000,2025-10-03,00:16:10.145
000000,+00.00000,+00.00000,2025-10-03,00:16:13.144
005187,+34.61486,-112.45043,2025-10-03,00:22:42.563
005189,+34.61486,-112.45043,2025-10-03,00:22:44.565
005191,+34.61486,-112.45042,2025-10-03,00:22:46.564
005197,+34.61486,-112.45042,2025-10-03,00:22:49.565
005205,+34.61486,-112.45042,2025-10-03,00:22:52.564
005220,+34.61483,-112.45044,2025-10-03,00:22:54.564
005241,+34.61480,-112.45045,2025-10-03,00:22:56.564
005263,+34.61475,-112.45045,2025-10-03,00:22:58.564
005289,+34.61475,-112.45048,2025-10-03,00:23:00.565
005287,+34.61480,-112.45051,2025-10-03,00:23:02.563
005288,+34.61478,-112.45052,2025-10-03,00:23:04.565
005284,+34.61480,-112.45053,2025-10-03,00:23:06.564
005282,+34.61480,-112.45054,2025-10-03,00:23:09.564
005276,+34.61483,-112.45055,2025-10-03,00:23:11.564
005274,+34.61483,-112.45055,2025-10-03,00:23:13.566
005271,+34.61483,-112.45055,2025-10-03,00:23:15.564
005266,+34.61486,-112.45055,2025-10-03,00:23:17.565
005249,+34.61486,-112.45055,2025-10-03,00:23:19.565
005251,+34.61486,-112.45055,2025-10-03,00:23:21.565
005266,+34.61486,-112.45056,2025-10-03,00:23:23.564
005260,+34.61486,-112.45057,2025-10-03,00:23:25.566
005260,+34.61486,-112.45057,2025-10-03,00:23:27.565
005251,+34.61486,-112.45056,2025-10-03,00:23:29.565
005247,+34.61486,-112.45056,2025-10-03,00:23:30.565
005236,+34.61486,-112.45056,2025-10-03,00:23:32.565
005224,+34.61486,-112.45057,2025-10-03,00:23:34.565
005220,+34.61486,-112.45058,2025-10-03,00:23:36.565
005214,+34.61486,-112.45058,2025-10-03,00:23:38.564
005212,+34.61486,-112.45058,2025-10-03,00:23:42.565
005217,+34.61486,-112.45058,2025-10-03,00:23:44.565
005218,+34.61486,-112.45057,2025-10-03,00:23:46.565
005215,+34.61486,-112.45059,2025-10-03,00:23:48.566
005221,+34.61486,-112.45061,2025-10-03,00:23:50.564
005231,+34.61488,-112.45062,2025-10-03,00:23:52.566
005239,+34.61488,-112.45062,2025-10-03,00:23:54.565
005244,+34.61488,-112.45062,2025-10-03,00:23:56.566
005248,+34.61488,-112.45062,2025-10-03,00:23:58.564
005240,+34.61488,-112.45059,2025-10-03,00:24:00.566
005219,+34.61488,-112.45055,2025-10-03,00:24:02.564
005214,+34.61486,-112.45052,2025-10-03,00:24:04.566
005211,+34.61483,-112.45049,2025-10-03,00:24:06.566
005214,+34.61483,-112.45047,2025-10-03,00:24:08.566
005226,+34.61480,-112.45047,2025-10-03,00:24:10.565
005227,+34.61480,-112.45047,2025-10-03,00:24:12.566
005218,+34.61478,-112.45048,2025-10-03,00:24:14.566
005197,+34.61480,-112.45053,2025-10-03,00:24:17.567
005194,+34.61480,-112.45056,2025-10-03,00:24:19.565
005192,+34.61478,-112.45056,2025-10-03,00:24:21.566
005196,+34.61478,-112.45057,2025-10-03,00:24:23.566
005214,+34.61475,-112.45058,2025-10-03,00:24:25.566
005221,+34.61473,-112.45060,2025-10-03,00:24:27.566
005216,+34.61473,-112.45061,2025-10-03,00:24:29.567
005221,+34.61473,-112.45062,2025-10-03,00:24:32.567
005211,+34.61473,-112.45063,2025-10-03,00:24:34.566
005208,+34.61473,-112.45062,2025-10-03,00:24:36.567
005205,+34.61473,-112.45063,2025-10-03,00:24:38.566
005201,+34.61473,-112.45062,2025-10-03,00:24:40.567
005201,+34.61473,-112.45061,2025-10-03,00:24:42.565
005208,+34.61473,-112.45062,2025-10-03,00:24:44.567
005200,+34.61473,-112.45062,2025-10-03,00:24:46.566
005151,+34.61473,-112.45065,2025-10-03,00:24:48.566
005202,+34.61473,-112.45062,2025-10-03,00:24:50.566
005270,+34.61473,-112.45057,2025-10-03,00:24:55.567
005240,+34.61473,-112.45057,2025-10-03,00:24:57.567
005188,+34.61473,-112.45060,2025-10-03,00:24:59.566
005183,+34.61473,-112.45059,2025-10-03,00:25:01.567
005181,+34.61473,-112.45058,2025-10-03,00:25:03.567
005172,+34.61475,-112.45058,2025-10-03,00:25:05.568
005164,+34.61475,-112.45059,2025-10-03,00:25:07.567
